"failures","probs"
643,"94.0253"
644,"94.0596"
645,"94.0937"
646,"94.1276"
647,"94.1613"
648,"94.1949"
649,"94.2282"
650,"94.2614"
651,"94.2944"
652,"94.3272"
653,"94.3598"
654,"94.3923"
655,"94.4246"
656,"94.4567"
657,"94.4886"
658,"94.5203"
659,"94.5519"
660,"94.5833"
661,"94.6145"
662,"94.6456"
663,"94.6765"
664,"94.7072"
665,"94.7377"
666,"94.7681"
667,"94.7983"
668,"94.8284"
669,"94.8582"
670,"94.8879"
671,"94.9175"
672,"94.9469"
673,"94.9761"
674,"95.0051"
675,"95.0340"
676,"95.0628"
677,"95.0914"
678,"95.1198"
679,"95.1481"
680,"95.1762"
681,"95.2041"
682,"95.2319"
683,"95.2596"
684,"95.2870"
685,"95.3144"
686,"95.3416"
687,"95.3686"
688,"95.3955"
689,"95.4222"
690,"95.4488"
691,"95.4752"
692,"95.5015"
693,"95.5277"
694,"95.5537"
695,"95.5795"
696,"95.6052"
697,"95.6308"
698,"95.6562"
699,"95.6815"
700,"95.7067"
701,"95.7317"
702,"95.7565"
703,"95.7812"
704,"95.8058"
705,"95.8303"
706,"95.8546"
707,"95.8788"
708,"95.9028"
709,"95.9267"
710,"95.9505"
711,"95.9741"
712,"95.9976"
713,"96.0210"
714,"96.0442"
715,"96.0673"
716,"96.0903"
717,"96.1132"
718,"96.1359"
719,"96.1585"
720,"96.1810"
721,"96.2033"
722,"96.2255"
723,"96.2476"
724,"96.2696"
725,"96.2914"
726,"96.3131"
727,"96.3347"
728,"96.3562"
729,"96.3776"
730,"96.3988"
731,"96.4199"
732,"96.4409"
733,"96.4618"
734,"96.4826"
735,"96.5032"
736,"96.5237"
737,"96.5441"
738,"96.5644"
739,"96.5846"
740,"96.6047"
741,"96.6246"
742,"96.6445"
743,"96.6642"
744,"96.6838"
745,"96.7033"
746,"96.7227"
747,"96.7420"
748,"96.7612"
749,"96.7802"
750,"96.7992"
751,"96.8180"
752,"96.8368"
753,"96.8554"
754,"96.8740"
755,"96.8924"
756,"96.9107"
757,"96.9289"
758,"96.9470"
759,"96.9650"
760,"96.9829"
761,"97.0008"
762,"97.0185"
763,"97.0361"
764,"97.0536"
765,"97.0710"
766,"97.0883"
767,"97.1055"
768,"97.1226"
769,"97.1396"
770,"97.1565"
771,"97.1733"
772,"97.1900"
773,"97.2066"
774,"97.2232"
775,"97.2396"
776,"97.2559"
777,"97.2722"
778,"97.2883"
779,"97.3044"
780,"97.3204"
781,"97.3363"
782,"97.3520"
783,"97.3677"
784,"97.3833"
785,"97.3989"
786,"97.4143"
787,"97.4296"
788,"97.4449"
789,"97.4600"
790,"97.4751"
791,"97.4901"
792,"97.5050"
793,"97.5198"
794,"97.5346"
795,"97.5492"
796,"97.5638"
797,"97.5782"
798,"97.5926"
799,"97.6069"
800,"97.6212"
801,"97.6353"
802,"97.6494"
803,"97.6634"
804,"97.6773"
805,"97.6911"
806,"97.7049"
807,"97.7185"
808,"97.7321"
809,"97.7456"
810,"97.7591"
811,"97.7724"
812,"97.7857"
813,"97.7989"
814,"97.8120"
815,"97.8251"
816,"97.8380"
817,"97.8509"
818,"97.8637"
819,"97.8765"
820,"97.8892"
821,"97.9018"
822,"97.9143"
823,"97.9268"
824,"97.9391"
825,"97.9514"
826,"97.9637"
827,"97.9759"
828,"97.9880"
829,"98.0000"
830,"98.0119"
831,"98.0238"
832,"98.0356"
833,"98.0474"
834,"98.0591"
835,"98.0707"
836,"98.0822"
837,"98.0937"
838,"98.1051"
839,"98.1165"
840,"98.1278"
841,"98.1390"
842,"98.1501"
843,"98.1612"
844,"98.1722"
845,"98.1832"
846,"98.1941"
847,"98.2049"
848,"98.2157"
849,"98.2264"
850,"98.2370"
851,"98.2476"
852,"98.2581"
853,"98.2686"
854,"98.2790"
855,"98.2893"
856,"98.2996"
857,"98.3098"
858,"98.3200"
859,"98.3300"
860,"98.3401"
861,"98.3501"
862,"98.3600"
863,"98.3698"
864,"98.3796"
865,"98.3894"
866,"98.3991"
867,"98.4087"
868,"98.4183"
869,"98.4278"
870,"98.4373"
871,"98.4467"
872,"98.4560"
873,"98.4653"
874,"98.4746"
875,"98.4838"
876,"98.4929"
877,"98.5020"
878,"98.5110"
879,"98.5200"
880,"98.5289"
881,"98.5378"
882,"98.5466"
883,"98.5554"
884,"98.5641"
885,"98.5727"
886,"98.5814"
887,"98.5899"
888,"98.5984"
889,"98.6069"
890,"98.6153"
891,"98.6237"
892,"98.6320"
893,"98.6402"
894,"98.6485"
895,"98.6566"
896,"98.6647"
897,"98.6728"
898,"98.6808"
899,"98.6888"
900,"98.6967"
901,"98.7046"
902,"98.7125"
903,"98.7203"
904,"98.7280"
905,"98.7357"
906,"98.7434"
907,"98.7510"
908,"98.7585"
909,"98.7660"
910,"98.7735"
911,"98.7809"
912,"98.7883"
913,"98.7957"
914,"98.8030"
915,"98.8102"
916,"98.8174"
917,"98.8246"
918,"98.8317"
919,"98.8388"
920,"98.8459"
921,"98.8529"
922,"98.8598"
923,"98.8667"
924,"98.8736"
925,"98.8805"
